,value,date,variable
1310,3.02,2007-02-01,Var. MM12M (%)
1315,2.96,2007-03-01,Var. MM12M (%)
1320,3.0,2007-04-01,Var. MM12M (%)
1325,3.18,2007-05-01,Var. MM12M (%)
1330,3.69,2007-06-01,Var. MM12M (%)
1335,3.74,2007-07-01,Var. MM12M (%)
1340,4.18,2007-08-01,Var. MM12M (%)
1345,4.15,2007-09-01,Var. MM12M (%)
1350,4.12,2007-10-01,Var. MM12M (%)
1355,4.19,2007-11-01,Var. MM12M (%)
1360,4.46,2007-12-01,Var. MM12M (%)
1365,4.56,2008-01-01,Var. MM12M (%)
1370,4.61,2008-02-01,Var. MM12M (%)
1375,4.73,2008-03-01,Var. MM12M (%)
1380,5.04,2008-04-01,Var. MM12M (%)
1385,5.58,2008-05-01,Var. MM12M (%)
1390,6.06,2008-06-01,Var. MM12M (%)
1395,6.37,2008-07-01,Var. MM12M (%)
1400,6.17,2008-08-01,Var. MM12M (%)
1405,6.25,2008-09-01,Var. MM12M (%)
1410,6.41,2008-10-01,Var. MM12M (%)
1415,6.39,2008-11-01,Var. MM12M (%)
1420,5.9,2008-12-01,Var. MM12M (%)
1425,5.84,2009-01-01,Var. MM12M (%)
1430,5.9,2009-02-01,Var. MM12M (%)
1435,5.61,2009-03-01,Var. MM12M (%)
1440,5.53,2009-04-01,Var. MM12M (%)
1445,5.2,2009-05-01,Var. MM12M (%)
1450,4.8,2009-06-01,Var. MM12M (%)
1455,4.5,2009-07-01,Var. MM12M (%)
1460,4.36,2009-08-01,Var. MM12M (%)
1465,4.34,2009-09-01,Var. MM12M (%)
1470,4.17,2009-10-01,Var. MM12M (%)
1475,4.22,2009-11-01,Var. MM12M (%)
1480,4.31,2009-12-01,Var. MM12M (%)
1485,4.59,2010-01-01,Var. MM12M (%)
1490,4.83,2010-02-01,Var. MM12M (%)
1495,5.17,2010-03-01,Var. MM12M (%)
1500,5.26,2010-04-01,Var. MM12M (%)
1505,5.22,2010-05-01,Var. MM12M (%)
1510,4.84,2010-06-01,Var. MM12M (%)
1515,4.6,2010-07-01,Var. MM12M (%)
1520,4.49,2010-08-01,Var. MM12M (%)
1525,4.7,2010-09-01,Var. MM12M (%)
1530,5.2,2010-10-01,Var. MM12M (%)
1535,5.63,2010-11-01,Var. MM12M (%)
1540,5.91,2010-12-01,Var. MM12M (%)
1545,5.99,2011-01-01,Var. MM12M (%)
1550,6.01,2011-02-01,Var. MM12M (%)
1555,6.3,2011-03-01,Var. MM12M (%)
1560,6.51,2011-04-01,Var. MM12M (%)
1565,6.55,2011-05-01,Var. MM12M (%)
1570,6.71,2011-06-01,Var. MM12M (%)
1575,6.87,2011-07-01,Var. MM12M (%)
1580,7.23,2011-08-01,Var. MM12M (%)
1585,7.31,2011-09-01,Var. MM12M (%)
1590,6.97,2011-10-01,Var. MM12M (%)
1595,6.64,2011-11-01,Var. MM12M (%)
1600,6.5,2011-12-01,Var. MM12M (%)
1605,6.22,2012-01-01,Var. MM12M (%)
1610,5.84,2012-02-01,Var. MM12M (%)
1615,5.24,2012-03-01,Var. MM12M (%)
1620,5.1,2012-04-01,Var. MM12M (%)
1625,4.99,2012-05-01,Var. MM12M (%)
1630,4.92,2012-06-01,Var. MM12M (%)
1635,5.2,2012-07-01,Var. MM12M (%)
1640,5.24,2012-08-01,Var. MM12M (%)
1645,5.28,2012-09-01,Var. MM12M (%)
1650,5.45,2012-10-01,Var. MM12M (%)
1655,5.53,2012-11-01,Var. MM12M (%)
1660,5.84,2012-12-01,Var. MM12M (%)
1665,6.15,2013-01-01,Var. MM12M (%)
1670,6.31,2013-02-01,Var. MM12M (%)
1675,6.59,2013-03-01,Var. MM12M (%)
1680,6.49,2013-04-01,Var. MM12M (%)
1685,6.5,2013-05-01,Var. MM12M (%)
1690,6.7,2013-06-01,Var. MM12M (%)
1695,6.27,2013-07-01,Var. MM12M (%)
1700,6.09,2013-08-01,Var. MM12M (%)
1705,5.86,2013-09-01,Var. MM12M (%)
1710,5.84,2013-10-01,Var. MM12M (%)
1715,5.77,2013-11-01,Var. MM12M (%)
1720,5.91,2013-12-01,Var. MM12M (%)
1725,5.59,2014-01-01,Var. MM12M (%)
1730,5.68,2014-02-01,Var. MM12M (%)
1735,6.15,2014-03-01,Var. MM12M (%)
1740,6.28,2014-04-01,Var. MM12M (%)
1745,6.37,2014-05-01,Var. MM12M (%)
1750,6.52,2014-06-01,Var. MM12M (%)
1755,6.5,2014-07-01,Var. MM12M (%)
1760,6.51,2014-08-01,Var. MM12M (%)
1765,6.75,2014-09-01,Var. MM12M (%)
1770,6.59,2014-10-01,Var. MM12M (%)
1775,6.56,2014-11-01,Var. MM12M (%)
1780,6.41,2014-12-01,Var. MM12M (%)
1785,7.14,2015-01-01,Var. MM12M (%)
1790,7.7,2015-02-01,Var. MM12M (%)
1795,8.13,2015-03-01,Var. MM12M (%)
1800,8.17,2015-04-01,Var. MM12M (%)
1805,8.47,2015-05-01,Var. MM12M (%)
1810,8.89,2015-06-01,Var. MM12M (%)
1815,9.56,2015-07-01,Var. MM12M (%)
1820,9.53,2015-08-01,Var. MM12M (%)
1825,9.49,2015-09-01,Var. MM12M (%)
1830,9.93,2015-10-01,Var. MM12M (%)
1835,10.48,2015-11-01,Var. MM12M (%)
1840,10.67,2015-12-01,Var. MM12M (%)
1845,10.71,2016-01-01,Var. MM12M (%)
1850,10.36,2016-02-01,Var. MM12M (%)
1855,9.39,2016-03-01,Var. MM12M (%)
1860,9.28,2016-04-01,Var. MM12M (%)
1865,9.32,2016-05-01,Var. MM12M (%)
1870,8.84,2016-06-01,Var. MM12M (%)
1875,8.74,2016-07-01,Var. MM12M (%)
1880,8.97,2016-08-01,Var. MM12M (%)
1885,8.48,2016-09-01,Var. MM12M (%)
1890,7.87,2016-10-01,Var. MM12M (%)
1895,6.99,2016-11-01,Var. MM12M (%)
1900,6.29,2016-12-01,Var. MM12M (%)
1905,5.35,2017-01-01,Var. MM12M (%)
1910,4.76,2017-02-01,Var. MM12M (%)
1915,4.57,2017-03-01,Var. MM12M (%)
1920,4.08,2017-04-01,Var. MM12M (%)
1925,3.6,2017-05-01,Var. MM12M (%)
1930,3.0,2017-06-01,Var. MM12M (%)
1935,2.71,2017-07-01,Var. MM12M (%)
1940,2.46,2017-08-01,Var. MM12M (%)
1945,2.54,2017-09-01,Var. MM12M (%)
1950,2.7,2017-10-01,Var. MM12M (%)
1955,2.8,2017-11-01,Var. MM12M (%)
1960,2.95,2017-12-01,Var. MM12M (%)
1965,2.86,2018-01-01,Var. MM12M (%)
1970,2.84,2018-02-01,Var. MM12M (%)
1975,2.68,2018-03-01,Var. MM12M (%)
1980,2.76,2018-04-01,Var. MM12M (%)
1985,2.86,2018-05-01,Var. MM12M (%)
1990,4.39,2018-06-01,Var. MM12M (%)
1995,4.48,2018-07-01,Var. MM12M (%)
2000,4.19,2018-08-01,Var. MM12M (%)
2005,4.53,2018-09-01,Var. MM12M (%)
2010,4.56,2018-10-01,Var. MM12M (%)
2015,4.05,2018-11-01,Var. MM12M (%)
2020,3.75,2018-12-01,Var. MM12M (%)
2025,3.78,2019-01-01,Var. MM12M (%)
2030,3.89,2019-02-01,Var. MM12M (%)
2035,4.58,2019-03-01,Var. MM12M (%)
2040,4.94,2019-04-01,Var. MM12M (%)
2045,4.66,2019-05-01,Var. MM12M (%)
2050,3.37,2019-06-01,Var. MM12M (%)
2055,3.22,2019-07-01,Var. MM12M (%)
2060,3.43,2019-08-01,Var. MM12M (%)
2065,2.89,2019-09-01,Var. MM12M (%)
2070,2.54,2019-10-01,Var. MM12M (%)
2075,3.27,2019-11-01,Var. MM12M (%)
2080,4.31,2019-12-01,Var. MM12M (%)
2085,4.19,2020-01-01,Var. MM12M (%)
2090,4.01,2020-02-01,Var. MM12M (%)
2095,3.3,2020-03-01,Var. MM12M (%)
2100,2.4,2020-04-01,Var. MM12M (%)
2105,1.88,2020-05-01,Var. MM12M (%)
2110,2.13,2020-06-01,Var. MM12M (%)
2115,2.31,2020-07-01,Var. MM12M (%)
2120,2.44,2020-08-01,Var. MM12M (%)
2125,3.14,2020-09-01,Var. MM12M (%)
2130,3.92,2020-10-01,Var. MM12M (%)
2135,4.31,2020-11-01,Var. MM12M (%)
2140,4.52,2020-12-01,Var. MM12M (%)
2145,4.56,2021-01-01,Var. MM12M (%)
2150,5.2,2021-02-01,Var. MM12M (%)
2155,6.1,2021-03-01,Var. MM12M (%)
2160,6.76,2021-04-01,Var. MM12M (%)
2165,8.06,2021-05-01,Var. MM12M (%)
2170,8.35,2021-06-01,Var. MM12M (%)
2175,8.99,2021-07-01,Var. MM12M (%)
2180,9.68,2021-08-01,Var. MM12M (%)
2185,10.25,2021-09-01,Var. MM12M (%)
2190,10.67,2021-10-01,Var. MM12M (%)
2195,10.74,2021-11-01,Var. MM12M (%)
2200,10.06,2021-12-01,Var. MM12M (%)
2205,10.38,2022-01-01,Var. MM12M (%)
2210,10.54,2022-02-01,Var. MM12M (%)
2215,11.3,2022-03-01,Var. MM12M (%)
2220,12.13,2022-04-01,Var. MM12M (%)
2225,11.73,2022-05-01,Var. MM12M (%)
2230,11.89,2022-06-01,Var. MM12M (%)
2235,10.07,2022-07-01,Var. MM12M (%)
2240,8.73,2022-08-01,Var. MM12M (%)
2245,7.17,2022-09-01,Var. MM12M (%)
2250,6.47,2022-10-01,Var. MM12M (%)
2255,5.9,2022-11-01,Var. MM12M (%)
2260,5.79,2022-12-01,Var. MM12M (%)
2265,5.77,2023-01-01,Var. MM12M (%)
2270,5.6,2023-02-01,Var. MM12M (%)
2275,4.65,2023-03-01,Var. MM12M (%)
2280,4.18,2023-04-01,Var. MM12M (%)
2285,3.94,2023-05-01,Var. MM12M (%)
2290,3.16,2023-06-01,Var. MM12M (%)
2295,3.99,2023-07-01,Var. MM12M (%)
2300,4.61,2023-08-01,Var. MM12M (%)
2305,5.19,2023-09-01,Var. MM12M (%)
2310,4.82,2023-10-01,Var. MM12M (%)
2315,4.68,2023-11-01,Var. MM12M (%)
2320,4.62,2023-12-01,Var. MM12M (%)
2325,4.51,2024-01-01,Var. MM12M (%)
2330,4.5,2024-02-01,Var. MM12M (%)
2335,3.93,2024-03-01,Var. MM12M (%)
2340,3.69,2024-04-01,Var. MM12M (%)
2345,3.93,2024-05-01,Var. MM12M (%)
2350,4.23,2024-06-01,Var. MM12M (%)
2355,4.5,2024-07-01,Var. MM12M (%)
2360,4.24,2024-08-01,Var. MM12M (%)
